PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
31.3,73.07363137,0.55,8.1,8.49,30.48969206,0.55,10.29,7.44,0.52,2.31,60
48.12,120.789927,0.67,7.9,8.43,33.16312758,0.67,1.28,6.3,5,21.75,106.0363454
57.11,113.2844278,0.55,8.28,8.42,30.85534602,0.55,14.58,2.6,2.81,14.53,90
34.72,91.91945637,0.1,9.73,7.88,29.37478563,0.1,13.62,4.87,1.44,5.22,78
29.22,69.8068697,0.06,9.57,7.77,29.35553772,0.06,13.58,5.08,1.37,3.65,48
29.79,71.1615179,0.14,8.64,7.97,28.96818881,0.14,15.11,5.34,0.36,1.05,53
59.95,108.7344802,0.18,8.78,8.16,32.78215547,0.18,11.52,2.79,0.52,1.23,91
19.2,65.33238899,1.52,9.45,9.74,28.77731372,1.52,11.23,4.61,1.29,3.29,70
19.52,79.76314871,5.89,11.26,17.15,28.31203023,5.89,11.56,4.4,0.58,1.44,157
35.16,90.48445676,5.75,10.89,16.64,28.99350659,5.75,14.7,3.67,1.61,3.71,158
33.03,85.35386458,7.01,10.58,17.58,29.30423877,7.01,12.95,3.53,1.65,3.96,169
40.95,94.14355253,6.92,10.47,17.39,28.03365442,6.92,19.8,3.38,2.05,5.08,174
40.29,93.47033518,6.74,10.52,17.26,31.33657204,6.74,8.27,3.57,1.85,4.34,173
41.16,92.09708499,6.91,10.51,17.42,29.9723342,6.91,13.48,3.69,1.8,4.23,172
36.12,96.96662114,7.21,11.56,17.07,29.32454744,7.21,13.62,6.08,1.67,2.85,190
28.51,84.04983841,6.69,20.52,27.21,31.43904834,6.69,5.69,7.65,1.36,2.17,171
31.59,82.02395612,6.99,20.42,27.41,30.85295164,6.99,9.23,7.9,0.72,2.29,168
42.56,87.80318749,7.17,20.4,27.57,32.95958305,7.17,6.28,9.86,1.36,2.94,172
48.12,91.67677652,7.14,20.3,27.45,33.45212328,7.14,6.77,12.78,1.22,3.39,173
37.09,87.4124493,7.22,20.21,27.42,31.50434141,7.22,8.66,7.94,0.86,2.98,175
33.4,85.88642212,7.4,20.09,27.5,30.71658411,7.4,9.95,8.39,0.8,2.13,179
38.64,86.03230137,7.35,20.21,27.55,31.38277929,7.35,9.74,6.28,1.31,2.8,174
40.49,85.94864825,7.48,20.23,27.71,32.13256988,7.48,8.92,21.51,1.17,3,176
41.37,87.8979723,7.47,20.2,27.68,31.3357532,7.47,11.73,19.8,1.82,2.85,179
44.56,87.38257584,7.49,20.06,27.55,31.93103308,7.49,11.23,22.77,1.38,3.36,175
65.68,97.28464758,7.57,19.94,27.51,35.28295177,7.57,8.21,30.21,3.62,5.79,177
33.34,80.71222422,7.3,20.27,27.57,32.38691265,7.3,6.41,32.95,0,0,175
39.17,83.13394769,7.35,20.24,27.58,32.10954532,7.35,9.17,26.64,0.79,0.76,174
34,84.55640031,7.41,20.1,27.51,31.01927335,7.41,9.64,17.17,1.21,1.8,179
36.38,87.20479828,7.31,20.14,27.45,30.77825562,7.31,10.65,13.35,2,4.33,177
38.35,88.40997764,7.41,20.16,27.57,31.49443978,7.41,9.33,18.59,1.63,3.74,180
38.5,103.0680174,12.38,19.67,30.02,30.6917113,12.38,10.37,16.33,1.56,2.97,274
39.61,84.08316738,17.31,14.84,32.15,30.63005058,17.31,10.76,5.38,1.67,3.17,310
61.79,90.51483114,17.24,14.82,32.06,32.95244553,17.24,12.39,8.06,0.91,1.81,303
43.22,79.62814779,17.17,14.82,31.99,31.56646414,17.17,11.68,37.87,1.29,3.06,302
33.41,70.52272212,17.12,14.86,31.98,31.1458051,17.12,12.96,86.83,1.08,2.1,302
36.9,74.22020687,17.08,14.85,31.93,33.27668904,17.08,4.73,54.01,0.91,1.25,302
36.36,71.74008623,17.11,14.79,31.9,32.56372336,17.11,8.86,77.3,0,0,302
32.64,71.96425795,17.01,14.84,31.85,32.30767496,17.01,7.05,62.31,0,0,302
38.23,74.95420802,17.07,14.89,31.96,31.70236197,17.07,10.9,55.94,0,0,302
39.86,72.31959345,16.98,14.83,31.81,33.01086279,16.98,10.02,96.83,0,0.01,301
72.74,87.69642769,17.04,14.84,31.88,38.54755302,17.04,4.23,99.03,0,0,302
43.2,76.80752261,17.05,14.86,31.91,33.77063479,17.05,5.96,59.99,0,0,302
63.2,91.01741821,17.03,14.82,31.85,35.60881774,17.03,3.69,7.57,0,0,302
64.73,91.72294812,17.01,14.82,31.83,35.06480466,17.01,6.45,12.13,0,0,302
65.28,90.553324,17.04,14.85,31.89,35.36851838,17.04,6.13,18.2,0,0,301
67.86,93.35206202,16.97,14.87,31.84,34.79008259,16.97,8.87,16.53,0,0,302
52.4,84.80790034,16.97,14.81,31.78,32.83358284,16.97,9.89,22.55,0,0,301
33.33,75.19207241,16.95,14.89,31.84,31.70851028,16.95,6.88,33.58,0,0,302
29.52,72.32039277,16.94,14.88,31.82,30.93359662,16.94,8.56,40.65,0,0,301
15.53,66.04919278,17,14.85,31.85,27.25775413,17,15.13,34.18,0,0,301
57.51,110.3624849,16.31,50.9,67.22,34.32588463,16.31,8.73,15.39,0,10.52,318.77286
50.24,107.0150293,9.46,12.31,21.77,31.11104783,9.46,11.63,13.61,0,3.42,226
61.77,150.3982008,8.68,15.43,24.1,32.57955029,8.68,8.1,18.69,0,4.83,276
46.93,114.1638695,7.14,11.47,18.61,31.65990468,7.14,7.92,19.03,0,3.08,209
43.01,96.33490068,6.82,9.96,16.78,30.58215964,6.82,11.58,20.59,0,2.5,179
42.06,92.77036349,8.43,11.35,19.78,30.68062651,8.43,11.63,28.09,0,3.19,197
44.94,121.1361826,7.14,10.94,18.07,32.54513713,7.14,5.85,59.38,0,2.21,229
29.58,83.42634968,6.61,9.94,16.55,30.43083056,6.61,8.82,42.9,0,1.87,170
32.15,83.06290195,6.5,9.7,16.2,30.53846324,6.5,9.2,39.02,0,2.73,164
36.33,94.52285005,7.68,12.88,20.56,31.15259581,7.68,8.28,43.35,0,4.29,195
24.46,96.28348202,8.45,10.99,19.44,28.28462902,8.45,12.59,44.55,0,2.52,220
80.25303962,153.7191754,16.45184945,28.92264429,28.99528116,36.7237357,2.605330032,11.34693317,34.82930923,3.492077949,4.946485625,184.0341165
27.08,72.75506479,9.95,12.25,22.19,29.6797402,9.95,9.51,12.46,0,4.77,193.6884535
59.29,108.1134696,9.21,9.68,18.89,33.54294471,9.21,5.98,7.69,0,3.24,217
65.32,122.0529628,10.61,9.62,20.23,34.46997305,10.61,3.69,4.74,0,3.63,254
47.39,116.8707477,9.26,10.48,19.74,31.25054548,9.26,7.72,7.71,0,3.41,241
43.88,120.4266839,8.69,19.75,28.44,32.05541304,8.69,4.83,11.53,0,3.24,244
28.35,109.5480577,9.05,13.62,22.68,29.35720815,9.05,7.47,15.95,0,3.26,243
3.59,79.33856503,11.26,14.17,25.44,26.41237255,11.26,9.6,20.38,0,4.02,244
3.04,89.63043057,16.31,21.5,37.81,25.04437666,16.31,13.73,30.05,0.02,9.33,327
19.14,186.3865805,10.33,30.6,40.93,25.74065015,10.33,10.96,29.36,0,8.36,390
69.12,124.7611818,8.85,32.41,41.26,32.80070184,8.85,15.63,28.45,0,7.16,231
76.41,150.3916468,17.96,34.7,52.67,32.99108832,17.96,15.44,31.49,0,7.51,396
102.49,256.3682457,33.31,37.85,71.17,27.72956297,33.31,27.32,24.85,19.81,51.29,731
127.94,291.7445133,11.14,28.38,39.52,31.3111271,11.14,25.59,15.17,8.14,29.23,466
87.18,146.1281217,7.83,21.51,29.34,35.97662359,7.83,6.98,23.17,5.59,17.26,230
99.73,100.6579667,20.16,30.23,50.39,31.12607287,20.16,32.74,20.91,8.58,27.22,309
